filename,label
guitar/guitar__001__[gel][dru][pop_roc]0829__1.png,guitar
guitar/guitar__001__[gel][dru][pop_roc]0829__2.png,guitar
guitar/guitar__001__[gel][dru][pop_roc]0829__3.png,guitar
guitar/guitar__004__[gel][dru][pop_roc]0941__1.png,guitar
guitar/guitar__004__[gel][dru][pop_roc]0941__2.png,guitar
guitar/guitar__004__[gel][dru][pop_roc]0941__3.png,guitar
guitar/guitar__005__[gel][nod][jaz_blu]0822__1.png,guitar
guitar/guitar__005__[gel][nod][jaz_blu]0822__2.png,guitar
guitar/guitar__005__[gel][nod][jaz_blu]0822__3.png,guitar
guitar/guitar__006__[gel][dru][pop_roc]0975__1.png,guitar
guitar/guitar__006__[gel][dru][pop_roc]0975__2.png,guitar
guitar/guitar__006__[gel][dru][pop_roc]0975__3.png,guitar
guitar/guitar__007__[gel][dru][pop_roc]0943__1.png,guitar
guitar/guitar__007__[gel][dru][pop_roc]0943__2.png,guitar
guitar/guitar__007__[gel][dru][pop_roc]0943__3.png,guitar
guitar/guitar__012__[gel][dru][pop_roc]0846__1.png,guitar
guitar/guitar__012__[gel][dru][pop_roc]0846__2.png,guitar
guitar/guitar__012__[gel][dru][pop_roc]0846__3.png,guitar
guitar/guitar__014__[gac][nod][cou_fol]0770__1.png,guitar
guitar/guitar__014__[gac][nod][cou_fol]0770__2.png,guitar
guitar/guitar__014__[gac][nod][cou_fol]0770__3.png,guitar
guitar/guitar__014__[gel][---][pop_roc]0978__1.png,guitar
guitar/guitar__014__[gel][---][pop_roc]0978__2.png,guitar
guitar/guitar__014__[gel][---][pop_roc]0978__3.png,guitar
guitar/guitar__016__[gac][dru][cou_fol]0671__1.png,guitar
guitar/guitar__016__[gac][dru][cou_fol]0671__2.png,guitar
guitar/guitar__016__[gac][dru][cou_fol]0671__3.png,guitar
guitar/guitar__017__[gel][dru][jaz_blu]0827__1.png,guitar
guitar/guitar__017__[gel][dru][jaz_blu]0827__2.png,guitar
guitar/guitar__017__[gel][dru][jaz_blu]0827__3.png,guitar
guitar/guitar__018__[gel][dru][pop_roc]0935__1.png,guitar
guitar/guitar__018__[gel][dru][pop_roc]0935__2.png,guitar
guitar/guitar__018__[gel][dru][pop_roc]0935__3.png,guitar
guitar/guitar__020__[gel][dru][pop_roc]0939__1.png,guitar
