image,instrument,intensity
BTb-ord-F#1-pp-N-N.png,Bass Tuba,pp
BTb-ord-G1-pp-N-R100u.png,Bass Tuba,pp
BTb-ord-G#1-pp-N-T16u.png,Bass Tuba,pp
BTb-ord-A1-pp-N-T23d.png,Bass Tuba,pp
BTb-ord-A#1-pp-N-N.png,Bass Tuba,pp
BTb-ord-B1-pp-N-N.png,Bass Tuba,pp
BTb-ord-C2-pp-N-T13d.png,Bass Tuba,pp
BTb-ord-C#2-pp-N-N.png,Bass Tuba,pp
BTb-ord-D2-pp-N-T18u.png,Bass Tuba,pp
BTb-ord-D#2-pp-N-T11u.png,Bass Tuba,pp
BTb-ord-E2-pp-N-T25u.png,Bass Tuba,pp
BTb-ord-F2-pp-N-T25u_R100u.png,Bass Tuba,pp
BTb-ord-F#2-pp-N-T14u.png,Bass Tuba,pp
BTb-ord-G2-pp-N-N.png,Bass Tuba,pp
BTb-ord-G#2-pp-N-T16u.png,Bass Tuba,pp
BTb-ord-A2-pp-N-T15u.png,Bass Tuba,pp
BTb-ord-A#2-pp-N-N.png,Bass Tuba,pp
BTb-ord-B2-pp-N-T11d.png,Bass Tuba,pp
BTb-ord-C3-pp-N-T11d.png,Bass Tuba,pp
BTb-ord-C#3-pp-N-N.png,Bass Tuba,pp
BTb-ord-D3-pp-N-N.png,Bass Tuba,pp
BTb-ord-D#3-pp-N-N.png,Bass Tuba,pp
BTb-ord-E3-pp-N-N.png,Bass Tuba,pp
BTb-ord-F3-pp-N-N.png,Bass Tuba,pp
BTb-ord-F#3-pp-N-N.png,Bass Tuba,pp
BTb-ord-G3-pp-N-T14d.png,Bass Tuba,pp
BTb-ord-G#3-pp-N-N.png,Bass Tuba,pp
BTb-ord-A3-pp-N-N.png,Bass Tuba,pp
BTb-ord-A#3-pp-N-T13d.png,Bass Tuba,pp
BTb-ord-B3-pp-N-T14d.png,Bass Tuba,pp
BTb-ord-C4-pp-N-N.png,Bass Tuba,pp
BTb-ord-C#4-pp-N-N.png,Bass Tuba,pp
BTb-ord-D4-pp-N-N.png,Bass Tuba,pp
BTb-ord-D#4-pp-N-N.png,Bass Tuba,pp
BTb-ord-E4-pp-N-N.png,Bass Tuba,pp
BTb-ord-F4-pp-N-N.png,Bass Tuba,pp
BTb-ord-F#1-mf-N-T18u.png,Bass Tuba,mf
BTb-ord-G1-mf-N-N.png,Bass Tuba,mf
BTb-ord-G#1-mf-N-T18u.png,Bass Tuba,mf
BTb-ord-A1-mf-N-T33u.png,Bass Tuba,mf
BTb-ord-A#1-mf-N-N.png,Bass Tuba,mf
BTb-ord-B1-mf-N-T16u.png,Bass Tuba,mf
BTb-ord-C2-mf-N-T23u.png,Bass Tuba,mf
BTb-ord-C#2-mf-N-N.png,Bass Tuba,mf
BTb-ord-D2-mf-N-T15u.png,Bass Tuba,mf
BTb-ord-D#2-mf-N-T34u.png,Bass Tuba,mf
BTb-ord-E2-mf-N-T27u.png,Bass Tuba,mf
BTb-ord-F2-mf-N-T24u.png,Bass Tuba,mf
BTb-ord-F#2-mf-N-T19u.png,Bass Tuba,mf
BTb-ord-G2-mf-N-T15u.png,Bass Tuba,mf
BTb-ord-G#2-mf-N-T26u.png,Bass Tuba,mf
BTb-ord-A2-mf-N-T29u.png,Bass Tuba,mf
BTb-ord-A#2-mf-N-T29u.png,Bass Tuba,mf
BTb-ord-B2-mf-N-T17u.png,Bass Tuba,mf
BTb-ord-C3-mf-N-T28u.png,Bass Tuba,mf
BTb-ord-C#3-mf-N-T25u.png,Bass Tuba,mf
BTb-ord-D3-mf-N-T16u.png,Bass Tuba,mf
BTb-ord-D#3-mf-N-T25u.png,Bass Tuba,mf
BTb-ord-E3-mf-N-T23u.png,Bass Tuba,mf
BTb-ord-F3-mf-N-N.png,Bass Tuba,mf
BTb-ord-F#3-mf-N-N.png,Bass Tuba,mf
BTb-ord-G3-mf-N-T14u.png,Bass Tuba,mf
BTb-ord-G#3-mf-N-T11u.png,Bass Tuba,mf
BTb-ord-A3-mf-N-N.png,Bass Tuba,mf
BTb-ord-A#3-mf-N-T14u.png,Bass Tuba,mf
BTb-ord-B3-mf-N-N.png,Bass Tuba,mf
BTb-ord-C4-mf-N-N.png,Bass Tuba,mf
BTb-ord-C#4-mf-N-N.png,Bass Tuba,mf
BTb-ord-D4-mf-N-N.png,Bass Tuba,mf
BTb-ord-D#4-mf-N-N.png,Bass Tuba,mf
BTb-ord-E4-mf-N-T11d.png,Bass Tuba,mf
BTb-ord-F4-mf-N-N.png,Bass Tuba,mf
BTb-ord-F#1-ff-N-N.png,Bass Tuba,ff
BTb-ord-G1-ff-N-T15d.png,Bass Tuba,ff
BTb-ord-G#1-ff-N-T12u.png,Bass Tuba,ff
BTb-ord-A1-ff-N-T19d.png,Bass Tuba,ff
BTb-ord-A#1-ff-N-T30d.png,Bass Tuba,ff
BTb-ord-B1-ff-N-N.png,Bass Tuba,ff
BTb-ord-C2-ff-N-N.png,Bass Tuba,ff
BTb-ord-C#2-ff-N-N.png,Bass Tuba,ff
BTb-ord-D2-ff-N-T13u.png,Bass Tuba,ff
BTb-ord-D#2-ff-N-N.png,Bass Tuba,ff
BTb-ord-E2-ff-N-T10u.png,Bass Tuba,ff
BTb-ord-F2-ff-N-T15u.png,Bass Tuba,ff
BTb-ord-F#2-ff-N-N.png,Bass Tuba,ff
BTb-ord-G2-ff-N-N.png,Bass Tuba,ff
BTb-ord-G#2-ff-N-N.png,Bass Tuba,ff
BTb-ord-A2-ff-N-N.png,Bass Tuba,ff
BTb-ord-A#2-ff-N-T19u.png,Bass Tuba,ff
BTb-ord-B2-ff-N-N.png,Bass Tuba,ff
BTb-ord-C3-ff-N-T18u.png,Bass Tuba,ff
BTb-ord-C#3-ff-N-N.png,Bass Tuba,ff
BTb-ord-D3-ff-N-T15u.png,Bass Tuba,ff
BTb-ord-D#3-ff-N-T17u.png,Bass Tuba,ff
BTb-ord-E3-ff-N-T16u.png,Bass Tuba,ff
BTb-ord-F3-ff-N-N.png,Bass Tuba,ff
BTb-ord-F#3-ff-N-N.png,Bass Tuba,ff
BTb-ord-G3-ff-N-T14u.png,Bass Tuba,ff
BTb-ord-G#3-ff-N-N.png,Bass Tuba,ff
BTb-ord-A3-ff-N-N.png,Bass Tuba,ff
BTb-ord-A#3-ff-N-N.png,Bass Tuba,ff
BTb-ord-B3-ff-N-T18d.png,Bass Tuba,ff
BTb-ord-C4-ff-N-N.png,Bass Tuba,ff
