image,instrument,intensity,filepath
Acc-ord-D#3-mf-N-N.png,Accordion,mf,mel_spectrograms/Acc-ord-D#3-mf-N-N.png
Acc-ord-G6-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-G6-pp-N-N.png
Acc-ord-C#8-pp-alt1-N.png,Accordion,pp,mel_spectrograms/Acc-ord-C#8-pp-alt1-N.png
Acc-ord-C#6-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-C#6-pp-N-N.png
Acc-ord-F2-mf-alt2-N.png,Accordion,mf,mel_spectrograms/Acc-ord-F2-mf-alt2-N.png
Acc-ord-C#5-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-C#5-pp-N-N.png
Acc-ord-F#3-mf-alt3-N.png,Accordion,mf,mel_spectrograms/Acc-ord-F#3-mf-alt3-N.png
Acc-ord-E2-mf-N-N.png,Accordion,mf,mel_spectrograms/Acc-ord-E2-mf-N-N.png
Acc-ord-F#6-ff-alt1-N.png,Accordion,ff,mel_spectrograms/Acc-ord-F#6-ff-alt1-N.png
Acc-ord-G#2-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-G#2-pp-N-N.png
Acc-ord-F#5-mf-N-N.png,Accordion,mf,mel_spectrograms/Acc-ord-F#5-mf-N-N.png
Acc-ord-C#4-ff-alt1-N.png,Accordion,ff,mel_spectrograms/Acc-ord-C#4-ff-alt1-N.png
Acc-ord-B1-mf-N-N.png,Accordion,mf,mel_spectrograms/Acc-ord-B1-mf-N-N.png
Acc-ord-E4-pp-alt2-N.png,Accordion,pp,mel_spectrograms/Acc-ord-E4-pp-alt2-N.png
Acc-ord-A3-ff-alt2-N.png,Accordion,ff,mel_spectrograms/Acc-ord-A3-ff-alt2-N.png
Acc-ord-G4-ff-alt1-N.png,Accordion,ff,mel_spectrograms/Acc-ord-G4-ff-alt1-N.png
Acc-ord-D5-ff-alt1-N.png,Accordion,ff,mel_spectrograms/Acc-ord-D5-ff-alt1-N.png
Acc-ord-A6-ff-N-N.png,Accordion,ff,mel_spectrograms/Acc-ord-A6-ff-N-N.png
Acc-ord-B4-mf-alt4-N.png,Accordion,mf,mel_spectrograms/Acc-ord-B4-mf-alt4-N.png
Acc-ord-A5-ff-N-N.png,Accordion,ff,mel_spectrograms/Acc-ord-A5-ff-N-N.png
Acc-ord-C#6-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-C#6-mf-alt1-N.png
Acc-ord-C4-ff-alt1-N.png,Accordion,ff,mel_spectrograms/Acc-ord-C4-ff-alt1-N.png
Acc-ord-G3-pp-alt1-N.png,Accordion,pp,mel_spectrograms/Acc-ord-G3-pp-alt1-N.png
Acc-ord-B1-mf-N-N.png,Accordion,mf,mel_spectrograms/Acc-ord-B1-mf-N-N.png
Acc-ord-G6-ff-alt1-N.png,Accordion,ff,mel_spectrograms/Acc-ord-G6-ff-alt1-N.png
Acc-ord-G7-ff-N-N.png,Accordion,ff,mel_spectrograms/Acc-ord-G7-ff-N-N.png
Acc-ord-A3-mf-alt3-N.png,Accordion,mf,mel_spectrograms/Acc-ord-A3-mf-alt3-N.png
Acc-ord-F#2-mf-alt2-N.png,Accordion,mf,mel_spectrograms/Acc-ord-F#2-mf-alt2-N.png
Acc-ord-G#5-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-G#5-pp-N-N.png
Acc-ord-G7-ff-N-N.png,Accordion,ff,mel_spectrograms/Acc-ord-G7-ff-N-N.png
Acc-ord-A#4-mf-alt3-N.png,Accordion,mf,mel_spectrograms/Acc-ord-A#4-mf-alt3-N.png
